Email,First Name,Last Name,Zip Code,Address,Avatar,Avg. Session Length,Time on App,Time on Website,Length of Membership,Yearly Amount Spent,Credit Card No,Birth Date,Product,
mstephenson@fernandez.com,Mechelle,Stoneman,505701,"835 Frank Tunnel
Wrightmouth, MI 82180/9605",Violet,34.49726773,12.65565115,39.57766802,4.082620633,587.951054,505701,80,earbuds,
hduke@hotmail.com,Tyesha,Freitag,500633,"4547 Archer Common
Diazchester, CA 06566/8576",DarkGreen,31.92627203,11.10946073,37.26895887,2.664034182,392.2049334,500633,66,grill,
pallen@yahoo.com,Dean,Stoecker,506945,"24645 Valerie Unions Suite 582
Cobbborough, DC 99414/7564",Bisque,33.00091476,11.33027806,37.11059744,4.104543202,487.5475049,506945,65,scooter,
riverarebecca@gmail.com,Annelle,Pickney,497447,"1414 David Throughway
Port Jason, OH 22070/1220",SaddleBrown,34.30555663,13.71751367,36.72128268,3.120178783,581.852344,497447,75,Pot,
mstephens@davidson/herman.com,Margareta,Tacy,496446,"14023 Rodriguez Passage
Port Jacobville, PR 37242/1057",MediumAquaMarine,33.33067252,12.79518855,37.5366533,4.446308318,599.406092,496446,65,air-fryer,
alvareznancy@lucas.biz,Meghann,Placencia,494067,"645 Martha Park Apt. 611
Jeffreychester, MN 67218/7250",FloralWhite,33.87103788,12.02692534,34.47687763,5.493507201,637.1024479,494067,67,Yoga mat,
katherine20@yahoo.com,Kendrick,Cieslak,498974,"68388 Reyes Lights Suite 692
Josephbury, WV 92213/0247",DarkSlateBlue,32.0215955,11.36634831,36.68377615,4.685017247,521.5721748,498974,54,Pot,
awatkins@yahoo.com,Polly,Isenberg,525212,"Unit 6538 Box 8980
DPO AP 09026/4941",Aqua,32.73914294,12.35195897,37.37335886,4.434273435,549.9041461,525212,34,mat,
vchurch@walter/martinez.com,Evelyne,Racicot,507387,"860 Lee Key
West Debra, SD 97450/0495",Salmon,33.9877729,13.38623528,37.53449734,3.273433578,570.200409,507387,54,powerbank,
bonnie69@lin.biz,Augustus,Delaune,517714,"PSC 2734, Box 5255
APO AA 98456/7482",Brown,31.93654862,11.81412829,37.14516822,3.202806072,427.1993849,517714,32,Pot,
andrew06@peterson.com,Shawanda,Client,500798,"26104 Alexander Groves
Alexandriaport, WY 28244/9149",Tomato,33.99257277,13.33897545,37.22580613,2.482607771,492.6060127,500798,74,grill,
ryanwerner@freeman.biz,Loura,Coffield,489618,"Unit 2413 Box 0347
DPO AA 07580/2652",Tomato,33.87936082,11.584783,37.08792607,3.713209203,522.3374046,489618,35,bike,
knelson@gmail.com,Lorriane,Machin,495624,"6705 Miller Orchard Suite 186
Lake Shanestad, MO 75696/5051",RoyalBlue,29.53242897,10.9612984,37.42021558,4.046423164,408.6403511,495624,64,Air purifier,
wrightpeter@yahoo.com,Lacey,Osier,488974,"05302 Dunlap Ferry
New Stephaniehaven, MP 42268",Bisque,33.19033404,12.95922609,36.1446667,3.918541839,573.4158673,488974,46,powerbank,
taylormason@gmail.com,Nicki,Malchow,523022,"7773 Powell Springs Suite 190
Samanthaland, ND 44358",DarkBlue,32.38797585,13.14872569,36.61995708,2.494543647,470.4527333,523022,54,desk,
